epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1122,1.12507,5.33983,1.23531,0.00129,0.72801,0.16429,0.11599,1.26701,4.40835,1.30182,0.000462724,0.000462724,0.000462724
2,39.7567,1.33124,4.66197,1.37389,0.86821,0.0226,0.09928,0.0658,1.51878,4.80685,1.65098,0.000920464,0.000920464,0.000920464
3,58.0318,1.4716,4.68562,1.5205,0.88015,0.02038,0.1013,0.05198,1.58817,4.63946,1.71793,0.00135934,0.00135934,0.00135934
4,76.5234,1.44435,3.93965,1.45333,0.76649,0.12994,0.09582,0.04882,1.94215,12.5633,2.10225,0.00134412,0.00134412,0.00134412
5,94.4831,1.57657,4.03649,1.52587,0.72403,0.15254,0.12464,0.07324,1.75804,21.0482,2.17443,0.00131582,0.00131582,0.00131582
6,112.606,1.52825,3.8588,1.5766,0.8301,0.15254,0.1696,0.11958,1.67441,8.65309,1.72089,0.00128753,0.00128753,0.00128753
7,130.733,1.3835,3.33427,1.439,0.19149,0.28612,0.08816,0.04789,1.89965,7.65897,1.97516,0.00125923,0.00125923,0.00125923
8,148.768,1.42871,3.18585,1.44756,0.8219,0.15819,0.15183,0.09416,1.57533,4.21028,1.58289,0.00123094,0.00123094,0.00123094
9,166.986,1.43824,3.14885,1.45918,0.8363,0.20493,0.19692,0.12994,1.60592,4.00577,1.63246,0.00120265,0.00120265,0.00120265
10,184.85,1.41531,3.2371,1.46027,0.91306,0.14124,0.19136,0.10894,1.55764,3.89802,1.61671,0.00117435,0.00117435,0.00117435
11,203.013,1.40864,2.73842,1.48026,0.85545,0.18644,0.1928,0.12154,1.47475,4.58724,1.52812,0.00114606,0.00114606,0.00114606
12,220.909,1.25862,4.0001,1.3218,0.82212,0.16295,0.18496,0.13012,1.39421,2.66783,1.41221,0.00111776,0.00111776,0.00111776
13,238.619,1.21922,2.3721,1.29778,0.83894,0.20339,0.20788,0.15505,1.37923,2.64976,1.39623,0.00108947,0.00108947,0.00108947
14,256.637,1.29995,2.3627,1.32558,0.88373,0.15254,0.18759,0.13869,1.53441,3.06038,1.5333,0.00106118,0.00106118,0.00106118
15,274.51,1.22035,2.23668,1.30458,0.85346,0.18644,0.23037,0.16217,1.4121,3.15828,1.4228,0.00103288,0.00103288,0.00103288
16,292.704,1.30942,2.55658,1.40286,0.85112,0.16384,0.18612,0.12635,1.41136,2.54673,1.44832,0.00100459,0.00100459,0.00100459
17,310.755,1.20941,2.27246,1.29722,0.83541,0.18644,0.18992,0.1339,1.56281,2.98514,1.46574,0.000976293,0.000976293,0.000976293
18,329.028,1.22063,2.17879,1.27681,0.8517,0.19209,0.25227,0.17583,1.35686,2.70287,1.35489,0.000947999,0.000947999,0.000947999
19,347.216,1.13863,2.07409,1.27836,0.64022,0.27024,0.25592,0.16841,1.35193,2.57071,1.40991,0.000919704,0.000919704,0.000919704
20,365.213,1.23528,2.06019,1.33614,0.84561,0.19774,0.22033,0.16406,1.38654,2.91673,1.42053,0.00089141,0.00089141,0.00089141
21,383.264,1.18658,2.01608,1.28753,0.8252,0.20339,0.21149,0.15704,1.33792,3.30234,1.43473,0.000863116,0.000863116,0.000863116
22,401.137,1.1429,2.02625,1.27683,0.5401,0.19384,0.20958,0.15844,1.38907,2.86589,1.42165,0.000834822,0.000834822,0.000834822
23,419.227,1.11105,1.87854,1.25111,0.26397,0.31543,0.2473,0.18301,1.37607,2.7911,1.37706,0.000806528,0.000806528,0.000806528
24,437.182,1.14581,1.83187,1.24628,0.58919,0.21361,0.21501,0.15888,1.39692,2.86741,1.4048,0.000778233,0.000778233,0.000778233
25,454.829,1.09506,1.84356,1.22073,0.22183,0.25209,0.23823,0.17458,1.25928,2.35877,1.31567,0.000749939,0.000749939,0.000749939
26,472.729,1.07073,1.85813,1.20972,0.19801,0.28033,0.24097,0.17331,1.28936,2.61746,1.35004,0.000721645,0.000721645,0.000721645
27,490.516,1.05865,1.7339,1.19625,0.46874,0.25209,0.24772,0.18447,1.19836,2.55546,1.29116,0.000693351,0.000693351,0.000693351
28,508.639,1.06035,1.71115,1.19547,0.24032,0.25773,0.2422,0.17257,1.25958,2.6567,1.30674,0.000665057,0.000665057,0.000665057
29,526.555,1.08327,1.90677,1.25176,0.54602,0.24644,0.23936,0.16888,1.26385,2.58046,1.30957,0.000636762,0.000636762,0.000636762
30,544.656,0.97437,1.62962,1.15132,0.35525,0.25821,0.27571,0.18986,1.24706,2.58309,1.28322,0.000608468,0.000608468,0.000608468
31,563.158,0.98091,1.56345,1.16181,0.3346,0.29163,0.27774,0.19343,1.27409,2.45807,1.32337,0.000580174,0.000580174,0.000580174
32,581.44,1.17572,2.13657,1.29692,0.31745,0.4034,0.28621,0.20071,1.21112,2.40988,1.28383,0.00055188,0.00055188,0.00055188
33,599.356,0.98335,1.59866,1.18002,0.36357,0.25773,0.27759,0.20275,1.16866,2.52463,1.25674,0.000523586,0.000523586,0.000523586
34,617.493,1.01619,1.63257,1.19647,0.4468,0.36835,0.33735,0.23881,1.16953,2.55259,1.27061,0.000495291,0.000495291,0.000495291
35,635.436,0.98757,1.49824,1.18433,0.34055,0.25773,0.28477,0.20441,1.19313,2.46772,1.26961,0.000466997,0.000466997,0.000466997
36,653.748,1.03305,1.51727,1.20349,0.23665,0.28154,0.28722,0.21112,1.13501,2.40428,1.25179,0.000438703,0.000438703,0.000438703
37,670.986,0.97251,1.51047,1.14061,0.31974,0.31558,0.31206,0.20604,1.21498,2.34057,1.27753,0.000410409,0.000410409,0.000410409
38,688.95,0.89037,1.43004,1.11475,0.35723,0.42548,0.34716,0.23627,1.12497,2.33347,1.23903,0.000382115,0.000382115,0.000382115
39,706.754,1.02213,1.4749,1.17005,0.23886,0.43113,0.34128,0.23074,1.19509,2.37317,1.28266,0.00035382,0.00035382,0.00035382
40,724.69,0.93966,1.46816,1.15211,0.35349,0.43799,0.31277,0.21317,1.20591,2.30918,1.25967,0.000325526,0.000325526,0.000325526
41,766.309,0.76907,3.00956,1.05414,0.35687,0.34409,0.32697,0.21314,1.1863,2.46135,1.24764,0.000297232,0.000297232,0.000297232
42,784.118,0.80413,1.96008,1.06497,0.89103,0.18079,0.25627,0.19423,1.20268,2.668,1.26176,0.000268938,0.000268938,0.000268938
43,802.064,0.76324,1.72693,1.07249,0.19685,0.43449,0.26526,0.18822,1.17642,2.49351,1.2392,0.000240644,0.000240644,0.000240644
44,820.087,0.77349,1.42243,1.06833,0.33194,0.26231,0.28902,0.2017,1.16038,2.52997,1.24532,0.000212349,0.000212349,0.000212349
45,837.733,0.73665,1.2658,1.08182,0.32876,0.36578,0.32492,0.22162,1.19413,2.46483,1.26708,0.000184055,0.000184055,0.000184055
46,855.674,0.75996,1.18749,1.05406,0.33883,0.33266,0.30336,0.21579,1.16437,2.37484,1.262,0.000155761,0.000155761,0.000155761
47,873.423,0.75606,1.27356,1.09579,0.33524,0.3372,0.30897,0.21925,1.12767,2.40299,1.23684,0.000127467,0.000127467,0.000127467
48,891.172,0.70712,1.17042,1.05754,0.23558,0.31551,0.28971,0.20937,1.13205,2.41309,1.23191,9.91726e-05,9.91726e-05,9.91726e-05
49,908.544,0.72112,1.50727,1.05706,0.21457,0.3449,0.27792,0.20757,1.13192,2.43302,1.22136,7.08784e-05,7.08784e-05,7.08784e-05
50,926.218,0.72401,1.32767,1.04577,0.22574,0.3223,0.28021,0.20979,1.12908,2.43109,1.22399,4.25842e-05,4.25842e-05,4.25842e-05
